stack=a5n_s0_ch1;stackdb=a5n_s0_db2;saveTime=3531199714.238000;version=20151102_v1;numHeaderRow=1;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs
,0,0,NaN,0,184,185,10,5,.1,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,
NaN,NaN,16.875000,28.934999,8.000000,8.000000,NaN,NaN,47.000000,0.000000,NaN,NaN,NaN,NaN,2.610548,2.610548,NaN,NaN,NaN,
NaN,NaN,16.875000,28.889999,8.000000,8.000000,NaN,NaN,48.000000,0.000000,NaN,NaN,NaN,NaN,2.655548,2.655548,NaN,NaN,NaN,
NaN,NaN,16.875000,28.844999,8.000000,8.000000,NaN,NaN,49.000000,0.000000,NaN,NaN,NaN,NaN,2.700548,2.700548,NaN,NaN,NaN,
NaN,NaN,16.875000,28.799999,7.000000,7.000000,NaN,NaN,50.000000,0.000000,NaN,NaN,NaN,NaN,2.745548,2.745548,NaN,NaN,NaN,
NaN,NaN,16.830000,28.754999,7.000000,7.000000,NaN,NaN,51.000000,0.000000,NaN,NaN,NaN,NaN,2.809188,2.809188,NaN,NaN,NaN,
NaN,NaN,16.830000,28.709999,7.000000,7.000000,NaN,NaN,52.000000,0.000000,NaN,NaN,NaN,NaN,2.854188,2.854188,NaN,NaN,NaN,
NaN,NaN,16.785000,28.665001,7.000000,7.000000,NaN,NaN,53.000000,0.000000,NaN,NaN,NaN,NaN,2.917826,2.917826,NaN,NaN,NaN,
NaN,NaN,16.740000,28.620001,8.000000,8.000000,NaN,NaN,54.000000,0.000000,NaN,NaN,NaN,NaN,2.981466,2.981466,NaN,NaN,NaN,
NaN,NaN,16.740000,28.575001,8.000000,8.000000,NaN,NaN,55.000000,0.000000,NaN,NaN,NaN,NaN,3.026466,3.026466,NaN,NaN,NaN,
NaN,NaN,16.695000,28.530001,8.000000,8.000000,NaN,NaN,56.000000,0.000000,NaN,NaN,NaN,NaN,3.090106,3.090106,NaN,NaN,NaN,
NaN,NaN,16.650000,28.485001,8.000000,8.000000,NaN,NaN,57.000000,0.000000,NaN,NaN,NaN,NaN,3.153746,3.153746,NaN,NaN,NaN,
NaN,NaN,16.605000,28.440001,8.000000,8.000000,NaN,NaN,58.000000,0.000000,NaN,NaN,NaN,NaN,3.217385,3.217385,NaN,NaN,NaN,
NaN,NaN,16.605000,28.440001,8.000000,8.000000,NaN,NaN,59.000000,0.000000,NaN,NaN,NaN,NaN,3.217385,3.217385,NaN,NaN,NaN,
NaN,NaN,16.559999,28.440001,8.000000,8.000000,NaN,NaN,60.000000,0.000000,NaN,NaN,NaN,NaN,3.262385,3.262385,NaN,NaN,NaN,
NaN,NaN,16.514999,28.440001,8.000000,8.000000,NaN,NaN,61.000000,0.000000,NaN,NaN,NaN,NaN,3.307385,3.307385,NaN,NaN,NaN,
NaN,NaN,16.469999,28.395000,7.000000,7.000000,NaN,NaN,62.000000,0.000000,NaN,NaN,NaN,NaN,3.371025,3.371025,NaN,NaN,NaN,
